clan,member_count,name,invite,id
:>,155,e??,puppycat,971490573099888691
:3,199,:3,rmJhjHzK5d,938028187743584307
[TL],200 [!],[TL] Take Ls,6RbVN8N3fV,1147045686026719284
#1,194,??????,n8xR8VypNr,1257429761383202916
^-^,138,????????? ???????????,cfcj8Gg65C,1058489605395075135
^0^,200 [!],?? Sakura Haven ??,bvekMvh4PG,854833356072419339
????,199,??discord.gg/lunalilac?????,S4RwWGU98B,1068342105006673972
????,199,[???] Academy /guildtag,fearguild,1226285932966056087
</3,196,Satake's Empire (18+),ghCjuhxwva,741434122584588383
</3,198,??????????????????,heartlesss,1198869472551915560
>.<,174,/bry,bry,1231745487074234370
00,188,Faint,faint,1183178304715493436
1337,199,1337 � Private,1337fr,1245364198536646796
224,18,v ? h,zrFTyn75wA,1165776124471689277
420,178,Carfan's Kingdom,YFbgBss,414342963527942145
69,166,KaChow's Dungeon,eJ4Ueuw9Yy,1131576408829870221
888,200 [!],.gg/stupid (#888),Ap4P6yBxSs,1248125248067469312
999,200 [!],.gg/stupid (#999),gjEcJCHKUy,1224179347817103502
ACE,196,Spades Empire,BWvV5WbXDq,1149441699123306586
Acid,77,Acids<3,Mfe2PmHZGX,1029833053113176104
ADM,186,World Control,clube,1186194271846551632
ADV,185,Advanced SMP | 1.21 Survival,u4ygktVk,1015451427646218333
AKT,190,Akatsuki Hideout,akthideout,503264945836916777
ALEV,131,A L E V ?? #KESH,alev,1215067556298235924
AMYK,191,AMEYOKO,4m8H5XUH3r,826305255548387358
AQUA,184,AQUA<3,D8e22Z9D,983082321613824030
ARLE,197,Happen's fatui crib,B7bKdp3rWC,805508832108216370
ATTC,183,Attic Guild,theatticguild,1090864149686399026
AURA,160,AURA (#AURA),7MA8kC88Y9,1132041649992773723
AURA,200 [!],.gg/stupid (#AURA),yougotaura,1141482735052001320
bal!,100,Potato Hangout,rXdeh2aFR6,318870647692460034
bat,63,bats,bats,1251993186939830285
BB,151,Brickbattle Archive,pFH7KRNs,1193101595957809232
BBTV,62,BlamingBuddha Club House,2afnZ57Aap,891104937273085984
bean,181,soybean's insectarium,UNs2uxHb,672576012092964885
BEES,180,The Swarm,UzSZJrpM,641499496097775634
BEST,173,/Bestyoung,bestyoung,1081276734407725108
BIRB,196,Ciel's Domain,asZyM8qc3w,1001345315078680657
Boos,97,Nightmare Studio's,EBbcWTXG,1244689413141692576
BSMT,186,the basement,2xnZA27UKp,592435296273039392
BUFF,188,Buff's Home,qaHtV7h,733455071769264172
bv,200 [!],The Bananavillas,S5T8W4hTDT,1158789218609401906
CAFE,189,Cucumber's Cafe,cEywqcjzKt,1171317399266545718
caf�,125,tsokolatt�,8hRuq7CSFH,798656794229604412
Caf�,198,Coffee Connoisseur's,32xcqdEn,729646358465871912
Caf�,199,TagTazz,8tVtfzJ3XU,1074288224895250432
CAPY,199,Capybara Fan Club,7jVRSVW5,972126416646860850
cat,200 [!],Cat,catz,1135650875650625587
CAT,182,Frat's Cat Crew,rySrjcx9,1170877420400808016
CATS,194,pokemox center,ZcyjpHPbdq,385862975757615116
ceo,166,#ceo,rounds,1256622680065577094
CEO,198,@CEO,catcher,1117351734940008479
CHAI,172,Val Cafe,CrQWTVMS6Z,1209763099129946122
CHOM,88,Chomperling,XBxfrJJCSc,985692255367094302
CLDC,53,Coastline - FiveM Drift Club,QefBVyXf,589606352247193630
CLS,179,Celestial Esports,kQkSpt9vH9,1163322018117206037
Coil,85,The Coil Community,TwhWuZ2hkz,1125221575982059632
cozy,61,owa owa,SwXMt9kR,808514976197247037
CR7,191,CR7 Clan,tadfi-cr7,1231619905078431808
CUTE,176,Apple's Tree,applestree,1094450071610863667
CUTE,198,.gg/stupid (#CUTE),daHURugfQy,1249747821020581928
